Team,Player,Reference
ATL,Trae Young,https://www.basketball-reference.com/players/y/youngtr01.html
ATL,Delon Wright,https://www.basketball-reference.com/players/w/wrighde01.html
ATL,Kevin Huerter,https://www.basketball-reference.com/players/h/huertke01.html
ATL,Clint Capela,https://www.basketball-reference.com/players/c/capelca01.html
ATL,Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html
ATL,John Collins,https://www.basketball-reference.com/players/c/collijo01.html
ATL,Bogdan Bogdanović,https://www.basketball-reference.com/players/b/bogdabo01.html
ATL,Lou Williams,https://www.basketball-reference.com/players/w/willilo02.html
ATL,Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html
ATL,Timothé Luwawu-Cabarrot,https://www.basketball-reference.com/players/l/luwawti01.html
ATL,De'Andre Hunter,https://www.basketball-reference.com/players/h/huntede01.html
ATL,Onyeka Okongwu,https://www.basketball-reference.com/players/o/okongon01.html
ATL,Skylar Mays,https://www.basketball-reference.com/players/m/mayssk01.html
ATL,Jalen Johnson,https://www.basketball-reference.com/players/j/johnsja05.html
ATL,Sharife Cooper,https://www.basketball-reference.com/players/c/coopesh01.html
ATL,Kevin Knox,https://www.basketball-reference.com/players/k/knoxke01.html
BRK,Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html
BRK,Bruce Brown,https://www.basketball-reference.com/players/b/brownbr01.html
BRK,Cam Thomas,https://www.basketball-reference.com/players/t/thomaca02.html
BRK,Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html
BRK,James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html
BRK,LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html
BRK,Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html
BRK,Kessler Edwards,https://www.basketball-reference.com/players/e/edwarke02.html
BRK,Day'Ron Sharpe,https://www.basketball-reference.com/players/s/sharpda01.html
BRK,Nic Claxton,https://www.basketball-reference.com/players/c/claxtni01.html
BRK,David Duke Jr.,https://www.basketball-reference.com/players/d/dukeda01.html
BRK,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html
BRK,Joe Harris,https://www.basketball-reference.com/players/h/harrijo01.html
